,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
329000,108998,22002,158955,241039,230954,199013,223007,266970,232987,134999
330000,106946,21952,164997,230999,207994,167048,234998,269999,232945,111997
331000,112038,23005,202956,222997,216999,157991,215047,276943,260039,114011
332000,111997,25959,178960,229998,203615,150992,219997,290038,227954,115546
333000,112031,23006,157001,216000,206958,211000,217993,290045,256999,117951
334000,115049,23005,161945,266959,208996,158990,215998,267048,237993,115995
335000,114947,23967,161038,220958,227997,166994,226997,291991,233997,117046
336000,109998,22004,168985,266013,206987,166959,211995,267038,233959,113992
337000,113995,23997,161999,238045,201999,157945,237041,267954,233508,123039
338000,112999,22954,166998,226998,228991,185020,217029,284954,254046,121010
339000,117995,22000,165036,251997,226963,168031,219999,266956,244998,137977
340000,126998,23046,176961,270026,207009,203002,260035,327032,278544,142004
341000,119998,24949,167001,336995,218046,162000,229983,276972,241005,121954
342000,118045,26998,187986,287000,211957,165049,251943,286991,229039,116959
343000,149000,37983,195030,244989,221012,165988,233956,267043,238947,115993
344000,113996,24043,212004,322995,220035,213001,265994,299989,234040,121997
345000,124004,37992,213997,250039,197998,158959,225041,313994,259009,152988
346000,152040,37990,236995,351036,256966,216971,228054,284949,276031,118959
347000,114001,21997,164998,256043,211037,159988,229007,311000,304062,119997
348000,117988,36961,187991,308997,210995,159976,251995,353989,275001,138958
349000,127985,28989,194998,260964,211960,163997,251053,354956,242998,116956
350000,110996,23000,168998,230004,215052,162950,223989,321646,237998,118958
351000,115958,22997,163997,271043,206988,160997,228005,290476,332950,117995
352000,126000,27000,201024,245982,234996,176994,241998,300006,244989,117998
353000,128990,27946,192992,252043,234995,166981,230048,307945,279036,124050
354000,121999,24000,173058,250996,246038,171007,234999,284949,271989,146044
355000,119998,23993,189014,256988,241008,167990,244006,295988,290518,125988
356000,119035,23999,168957,234994,231984,168000,230981,288998,245995,133963
357000,131986,28003,207033,319999,276988,228030,251011,294984,248002,129963
358000,133037,26006,199963,267001,282039,183988,242953,290998,269989,126955
359000,114998,26999,181048,265989,228956,171039,254958,317039,256959,130036
360000,114998,24010,182002,284987,234017,176945,237994,279991,253986,124999
361000,122997,23996,177002,270030,247002,169989,237007,287037,274005,132794
362000,131950,28001,177996,274037,256011,174949,241030,314952,245994,125039
363000,134000,25997,174997,246996,228995,207995,236992,292032,245001,126959
364000,120001,26997,177997,246996,229997,198001,233994,288990,258038,140960
365000,127957,25003,178996,244993,247035,180997,268958,304647,261997,133003
366000,124045,24999,182995,239951,239045,196952,246034,297995,291993,125001
